"","STABBR","AWLEVEL","CIPCODE","totalawards","statetotals","comp_high_any","stem_high_any"
"397","AK",7,26.0101,14,683,0,1
"398","AK",7,26.0204,0,683,NA,1
"399","AK",7,26.0301,0,683,0,1
"400","AK",7,26.0701,0,683,0,1
"401","AK",7,26.1302,6,683,0,1
"402","AK",7,27.0101,0,683,0,1
"403","AK",7,27.0301,4,683,1,1
"404","AK",7,30.0101,0,683,0,0
"405","AK",7,30.2301,2,683,0,0
"406","AK",7,30.9999,9,683,NA,0
"407","AK",7,31.9999,4,683,NA,0
"408","AK",7,40.0202,0,683,1,1
"409","AK",7,40.0401,1,683,0,1
"410","AK",7,40.0501,1,683,NA,1
"411","AK",7,40.0599,2,683,NA,1
"412","AK",7,40.0601,7,683,0,1
"413","AK",7,40.0603,2,683,0,1
"414","AK",7,40.0607,0,683,0,1
"415","AK",7,40.0801,1,683,1,1
"416","AK",7,40.0899,0,683,1,1
"417","AK",7,42.2801,16,683,0,0
"418","AK",7,42.2802,0,683,0,0
"419","AK",7,42.2803,19,683,0,0
"420","AK",7,43.0103,3,683,0,0
"421","AK",7,44.0201,10,683,0,0
"422","AK",7,44.0401,19,683,0,0
"423","AK",7,44.0701,21,683,0,0
"424","AK",7,44.9999,0,683,NA,0
"425","AK",7,45.0201,10,683,0,0
"426","AK",7,45.0602,0,683,0,1
"427","AK",7,45.0699,2,683,0,1
"428","AK",7,50.0701,3,683,0,0
"429","AK",7,50.0901,2,683,0,0
"430","AK",7,51.0701,0,683,0,0
"431","AK",7,51.2201,4,683,0,0
"432","AK",7,51.3801,8,683,0,1
"433","AK",7,52.0201,45,683,0,0
"434","AK",7,52.0205,1,683,0,1
"435","AK",7,52.0806,1,683,0,1
"436","AK",7,52.1206,0,683,1,1
"437","AK",7,52.1301,61,683,0,1
"438","AK",7,99,683,683,NA,NA
"439","AK",8,13.0401,0,0,0,0
"440","AK",8,13.0411,0,0,NA,0
"441","AK",8,51.3805,0,0,0,1
"442","AK",8,51.3811,0,0,0,1
"443","AK",8,99,0,0,NA,NA
"444","AL",1,1.0101,3,3397,0,1
"445","AL",1,1.0303,0,3397,0,1
"446","AL",1,1.0601,37,3397,0,1
"447","AL",1,1.0603,0,3397,0,1
"448","AL",1,3.0103,3,3397,0,1
"449","AL",1,3.0511,0,3397,0,0
"450","AL",1,10.0202,14,3397,1,1
"451","AL",1,10.0305,0,3397,0,0
"452","AL",1,10.0399,1,3397,0,0
"453","AL",1,11.0101,72,3397,1,1
"454","AL",1,11.0103,1,3397,1,1
"455","AL",1,11.0401,0,3397,1,1
"456","AL",1,12.0301,13,3397,0,1
"457","AL",1,12.0401,130,3397,0,0
"458","AL",1,12.0402,74,3397,0,0
"459","AL",1,12.041,11,3397,0,0
"460","AL",1,12.0413,18,3397,0,0
"461","AL",1,12.0499,6,3397,0,0
