"","STABBR","degType","year","statetotal","stem_high_any","totalawards","share"
"895","NC","Associate's and below",2013,52890,0,40267,0.761334845906599
"896","NC","Associate's and below",2013,52890,1,12623,0.238665154093401
"897","NC","Associate's and below",2014,57368,0,43695,0.761661553479292
"898","NC","Associate's and below",2014,57368,1,13673,0.238338446520708
"899","NC","Bachelor's",2010,50328,0,35736,0.710061993323796
"900","NC","Bachelor's",2010,50328,1,14590,0.289898267366079
"901","NC","Bachelor's",2011,52584,1,15543,0.295584208124144
"902","NC","Bachelor's",2011,52584,0,37039,0.704377757492773
"903","NC","Bachelor's",2012,54616,0,38215,0.699703383623847
"904","NC","Bachelor's",2012,54616,1,16401,0.300296616376154
"905","NC","Bachelor's",2013,55846,0,38853,0.695716792608244
"906","NC","Bachelor's",2013,55846,1,16993,0.304283207391756
"907","NC","Bachelor's",2014,56672,1,17961,0.316928994918125
"908","NC","Bachelor's",2014,56672,0,38711,0.683071005081875
"909","NC","Master's and Higher",2010,19480,0,13788,0.707802874743326
"910","NC","Master's and Higher",2010,19480,1,5692,0.292197125256674
"911","NC","Master's and Higher",2011,20513,1,6065,0.295666162921074
"912","NC","Master's and Higher",2011,20513,0,14448,0.704333837078926
"913","NC","Master's and Higher",2012,21655,1,6896,0.318448395289771
"914","NC","Master's and Higher",2012,21655,0,14759,0.681551604710229
"915","NC","Master's and Higher",2013,22383,1,6956,0.310771567707635
"916","NC","Master's and Higher",2013,22383,0,15427,0.689228432292365
"917","NC","Master's and Higher",2014,23776,1,7419,0.31203734858681
"918","NC","Master's and Higher",2014,23776,0,16357,0.68796265141319
"919","ND","Associate's and below",2010,3474,1,1240,0.356937248128958
"920","ND","Associate's and below",2010,3474,0,2234,0.643062751871042
"921","ND","Associate's and below",2011,3652,1,1322,0.361993428258489
"922","ND","Associate's and below",2011,3652,0,2330,0.638006571741512
"923","ND","Associate's and below",2012,3442,1,1160,0.337013364323068
"924","ND","Associate's and below",2012,3442,0,2282,0.662986635676932
"925","ND","Associate's and below",2013,3607,1,1272,0.352647629609093
"926","ND","Associate's and below",2013,3607,0,2335,0.647352370390907
"927","ND","Associate's and below",2014,3574,0,2337,0.653889199776161
"928","ND","Associate's and below",2014,3574,1,1237,0.346110800223839
"929","ND","Bachelor's",2010,6209,1,2258,0.363665646641971
"930","ND","Bachelor's",2010,6209,0,3951,0.636334353358029
"931","ND","Bachelor's",2011,6094,1,2286,0.375123071873974
"932","ND","Bachelor's",2011,6094,0,3808,0.624876928126026
"933","ND","Bachelor's",2012,6292,1,2483,0.394628099173554
"934","ND","Bachelor's",2012,6292,0,3809,0.605371900826446
"935","ND","Bachelor's",2013,6562,1,2471,0.37656202377324
"936","ND","Bachelor's",2013,6562,0,4091,0.62343797622676
"937","ND","Bachelor's",2014,6687,0,4009,0.599521459548377
"938","ND","Bachelor's",2014,6687,1,2678,0.400478540451623
"939","ND","Master's and Higher",2010,1849,1,611,0.330448891292591
"940","ND","Master's and Higher",2010,1849,0,1238,0.669551108707409
"941","ND","Master's and Higher",2011,2040,0,1420,0.696078431372549
"942","ND","Master's and Higher",2011,2040,1,620,0.303921568627451
"943","ND","Master's and Higher",2012,2210,1,773,0.349773755656109
"944","ND","Master's and Higher",2012,2210,0,1437,0.650226244343891
"945","ND","Master's and Higher",2013,2147,1,769,0.35817419655333
"946","ND","Master's and Higher",2013,2147,0,1378,0.64182580344667
"947","ND","Master's and Higher",2014,2304,1,850,0.368923611111111
"948","ND","Master's and Higher",2014,2304,0,1454,0.631076388888889
"949","NE","Associate's and below",2010,7837,0,5351,0.682786780655863
"950","NE","Associate's and below",2010,7837,1,2486,0.317213219344137
"951","NE","Associate's and below",2011,8614,1,2592,0.300905502670072
"952","NE","Associate's and below",2011,8614,0,6022,0.699094497329928
"953","NE","Associate's and below",2012,8996,0,6320,0.702534459759893
"954","NE","Associate's and below",2012,8996,1,2676,0.297465540240107
"955","NE","Associate's and below",2013,9692,0,6698,0.691085431283533
"956","NE","Associate's and below",2013,9692,1,2994,0.308914568716467
"957","NE","Associate's and below",2014,9159,1,2763,0.301670488044546
"958","NE","Associate's and below",2014,9159,0,6396,0.698329511955454
"959","NE","Bachelor's",2010,13954,0,9712,0.696001146624624
"960","NE","Bachelor's",2010,13954,1,4242,0.303998853375376
"961","NE","Bachelor's",2011,14893,0,10519,0.706304975491842
"962","NE","Bachelor's",2011,14893,1,4374,0.293695024508158
"963","NE","Bachelor's",2012,15507,1,4779,0.308183401044689
"964","NE","Bachelor's",2012,15507,0,10728,0.691816598955311
"965","NE","Bachelor's",2013,15458,1,4702,0.304179065855868
