"","comp","state","awlevel","year","share"
"572",1,"MS",6,2010,0
"573",0,"MT",6,2010,0.717391304347826
"574",0,"NC",6,2010,0.457627118644068
"575",1,"NC",6,2010,0.0532687651331719
"576",0,"ND",6,2010,0.842105263157895
"577",1,"ND",6,2010,0.087719298245614
"578",0,"NE",6,2010,0.833333333333333
"579",1,"NE",6,2010,0.0158730158730159
"580",0,"NH",6,2010,0.61986301369863
"581",1,"NH",6,2010,0.0136986301369863
"582",0,"NJ",6,2010,0.325301204819277
"583",1,"NJ",6,2010,0.364226135310473
"584",0,"NM",6,2010,0.524590163934426
"585",1,"NM",6,2010,0.114754098360656
"586",0,"NV",6,2010,0.46969696969697
"587",0,"NY",6,2010,0.714484679665738
"588",1,"NY",6,2010,0.0194986072423398
"589",0,"OH",6,2010,0.733333333333333
"590",1,"OH",6,2010,0.032258064516129
"591",0,"OK",6,2010,0.935483870967742
"592",1,"OK",6,2010,0.0645161290322581
"593",0,"OR",6,2010,0.930984555984556
"594",1,"OR",6,2010,0.013996138996139
"595",0,"PA",6,2010,0.721611721611722
"596",1,"PA",6,2010,0.0423861852433281
"597",0,"PR",6,2010,0.344086021505376
"598",1,"PR",6,2010,0.00537634408602151
"599",0,"RI",6,2010,0.777777777777778
"600",0,"SC",6,2010,0.69047619047619
"601",1,"SC",6,2010,0
"602",0,"SD",6,2010,0.964285714285714
"603",0,"TN",6,2010,0.884444444444444
"604",1,"TN",6,2010,0.0444444444444444
"605",0,"TX",6,2010,0.543532338308458
"606",1,"TX",6,2010,0.143034825870647
"607",0,"UT",6,2010,0.852201257861635
"608",1,"UT",6,2010,0
"609",0,"VA",6,2010,0.541125541125541
"610",1,"VA",6,2010,0.162337662337662
"611",0,"VT",6,2010,0.689655172413793
"612",1,"VT",6,2010,0.0172413793103448
"613",0,"WA",6,2010,0.882789317507418
"614",1,"WA",6,2010,0.0118694362017804
"615",0,"WI",6,2010,0.840978593272171
"616",1,"WI",6,2010,0.0152905198776758
"617",0,"WV",6,2010,0.888888888888889
"618",1,"WV",6,2010,0
"619",0,"WY",6,2010,0.872340425531915
"620",0,"AK",7,2010,0.83601756954612
"621",1,"AK",7,2010,0.08199121522694
"622",0,"AL",7,2010,0.874381188118812
"623",1,"AL",7,2010,0.0750530410183876
"624",0,"AR",7,2010,0.745520581113801
"625",1,"AR",7,2010,0.12227602905569
"626",0,"AZ",7,2010,0.828873017238907
"627",1,"AZ",7,2010,0.0877721366491696
"628",0,"CA",7,2010,0.79599508746705
"629",1,"CA",7,2010,0.137805535585909
"630",0,"CO",7,2010,0.72627235213205
"631",1,"CO",7,2010,0.16895919303072
"632",0,"CT",7,2010,0.800138872815646
