,STEM,STABBR,AWLEVEL,year,share
646,1,WI,6,2010,0.097859327
647,0,WV,6,2010,0.977777778
648,1,WV,6,2010,0.022222222
649,0,WY,6,2010,0.872340426
650,1,WY,6,2010,0.127659574
651,0,AK,7,2010,0.698389458
652,1,AK,7,2010,0.301610542
653,0,AL,7,2010,0.791725601
654,1,AL,7,2010,0.208274399
655,0,AR,7,2010,0.706053269
656,1,AR,7,2010,0.293946731
657,0,AZ,7,2010,0.817772423
658,1,AZ,7,2010,0.182227577
659,0,CA,7,2010,0.754403307
660,1,CA,7,2010,0.245566739
661,0,CO,7,2010,0.688445667
662,1,CO,7,2010,0.311554333
663,0,CT,7,2010,0.687883347
664,1,CT,7,2010,0.312116653
665,0,DC,7,2010,0.798155298
666,1,DC,7,2010,0.201844702
667,0,DE,7,2010,0.683360258
668,1,DE,7,2010,0.316639742
669,0,FL,7,2010,0.730838865
670,1,FL,7,2010,0.269161135
671,0,GA,7,2010,0.747010853
672,1,GA,7,2010,0.252989147
673,0,GU,7,2010,0.950819672
674,1,GU,7,2010,0.049180328
675,0,HI,7,2010,0.737672584
676,1,HI,7,2010,0.262327416
677,0,IA,7,2010,0.823741007
678,1,IA,7,2010,0.176258993
679,0,ID,7,2010,0.620035566
680,1,ID,7,2010,0.379964434
681,0,IL,7,2010,0.73526298
682,1,IL,7,2010,0.26473702
683,0,IN,7,2010,0.769230769
684,1,IN,7,2010,0.230769231
685,0,KS,7,2010,0.727908361
686,1,KS,7,2010,0.272091639
687,0,KY,7,2010,0.789107486
688,1,KY,7,2010,0.210892514
689,0,LA,7,2010,0.703644315
690,1,LA,7,2010,0.296355685
691,0,MA,7,2010,0.767150028
692,1,MA,7,2010,0.232849972
693,0,MD,7,2010,0.684164534
694,1,MD,7,2010,0.315835466
695,0,ME,7,2010,0.717544813
696,1,ME,7,2010,0.282455187
697,0,MI,7,2010,0.726414649
698,1,MI,7,2010,0.273585351
699,0,MN,7,2010,0.779764169
700,1,MN,7,2010,0.220235831
701,0,MO,7,2010,0.808887081
702,1,MO,7,2010,0.191112919
703,0,MS,7,2010,0.761781338
704,1,MS,7,2010,0.238218662
705,0,MT,7,2010,0.585964912
706,1,MT,7,2010,0.414035088
707,0,NC,7,2010,0.735626217
708,1,NC,7,2010,0.264373783
709,0,ND,7,2010,0.727077364
710,1,ND,7,2010,0.272922636
711,0,NE,7,2010,0.667883212
712,1,NE,7,2010,0.332116788
713,0,NH,7,2010,0.772543353
714,1,NH,7,2010,0.227456647
715,0,NJ,7,2010,0.715445433
716,1,NJ,7,2010,0.284554567
717,0,NM,7,2010,0.735725429
718,1,NM,7,2010,0.264274571
719,0,NV,7,2010,0.744720965
720,1,NV,7,2010,0.255279035
721,0,NY,7,2010,0.789148893
722,1,NY,7,2010,0.210851107
723,0,OH,7,2010,0.740132016
724,1,OH,7,2010,0.259867984
725,0,OK,7,2010,0.731227952
726,1,OK,7,2010,0.268772048
727,0,OR,7,2010,0.775824176
728,1,OR,7,2010,0.224175824
729,0,PA,7,2010,0.71394091
730,1,PA,7,2010,0.28605909
731,0,PR,7,2010,0.748562185
732,1,PR,7,2010,0.251437815
733,0,RI,7,2010,0.788902795
734,1,RI,7,2010,0.211097205
735,0,SC,7,2010,0.807063785
736,1,SC,7,2010,0.192936215
737,0,SD,7,2010,0.64171123
738,1,SD,7,2010,0.35828877
739,0,TN,7,2010,0.738932292
740,1,TN,7,2010,0.261067708
741,0,TX,7,2010,0.722183571
742,1,TX,7,2010,0.277791582
743,0,UT,7,2010,0.761060423
744,1,UT,7,2010,0.238939577
745,0,VA,7,2010,0.734469256
746,1,VA,7,2010,0.265530744
747,0,VI,7,2010,0.963636364
748,1,VI,7,2010,0.036363636
749,0,VT,7,2010,0.811497326
750,1,VT,7,2010,0.188502674
751,0,WA,7,2010,0.775449714
752,1,WA,7,2010,0.224550286
753,0,WI,7,2010,0.786052881
754,1,WI,7,2010,0.213947119
755,0,WV,7,2010,0.871248025
756,1,WV,7,2010,0.128751975
757,0,WY,7,2010,0.602941176
758,1,WY,7,2010,0.397058824
759,0,AK,8,2010,0
760,1,AK,8,2010,0
761,0,AL,8,2010,0.954441913
762,1,AL,8,2010,0.045558087
763,0,AR,8,2010,0.914285714
764,1,AR,8,2010,0.085714286
765,0,AZ,8,2010,0.986666667
766,1,AZ,8,2010,0.013333333
767,0,CA,8,2010,0.43668993
768,1,CA,8,2010,0.56331007
769,0,CO,8,2010,0.902173913
