"","CBSA","degType","year","Cbsatotal","comp_high_any","totalawards","share"
"169",10420,"Associate's and below",2012,2707,0,2257,0.833764314739564
"170",10420,"Associate's and below",2012,2707,1,209,0.0772072404876247
"171",10420,"Associate's and below",2013,2394,0,1812,0.756892230576441
"172",10420,"Associate's and below",2013,2394,1,251,0.10484544695071
"173",10420,"Associate's and below",2014,2464,0,1783,0.72362012987013
"174",10420,"Associate's and below",2014,2464,1,218,0.088474025974026
"175",10420,"Bachelor's",2010,6877,0,5662,0.823324123891232
"176",10420,"Bachelor's",2010,6877,1,537,0.0780863748727643
"177",10420,"Bachelor's",2011,7447,1,622,0.0835235665368605
"178",10420,"Bachelor's",2011,7447,0,6017,0.807976366322009
"179",10420,"Bachelor's",2012,7878,0,6448,0.818481848184819
"180",10420,"Bachelor's",2012,7878,1,586,0.0743843615130744
"181",10420,"Bachelor's",2013,8287,1,571,0.0689031012429106
"182",10420,"Bachelor's",2013,8287,0,6878,0.829974659104622
"183",10420,"Bachelor's",2014,8359,0,6984,0.835506639550185
"184",10420,"Bachelor's",2014,8359,1,634,0.0758463931092236
"185",10420,"Master's and Higher",2010,2796,0,2123,0.759298998569385
"186",10420,"Master's and Higher",2010,2796,1,377,0.13483547925608
"187",10420,"Master's and Higher",2011,3251,1,381,0.117194709320209
"188",10420,"Master's and Higher",2011,3251,0,2539,0.78099046447247
"189",10420,"Master's and Higher",2012,3457,1,403,0.116575065085334
"190",10420,"Master's and Higher",2012,3457,0,2581,0.746601099218976
"191",10420,"Master's and Higher",2013,3297,0,2575,0.781013042159539
"192",10420,"Master's and Higher",2013,3297,1,403,0.122232332423415
"193",10420,"Master's and Higher",2014,3493,0,2624,0.751216719152591
"194",10420,"Master's and Higher",2014,3493,1,442,0.126538791869453
"195",10460,"Associate's and below",2010,603,1,10,0.0165837479270315
"196",10460,"Associate's and below",2010,603,0,473,0.78441127694859
"197",10460,"Associate's and below",2011,885,1,9,0.0101694915254237
"198",10460,"Associate's and below",2011,885,0,729,0.823728813559322
"199",10460,"Associate's and below",2012,989,0,803,0.811931243680485
"200",10460,"Associate's and below",2012,989,1,12,0.0121334681496461
"201",10460,"Associate's and below",2013,885,0,718,0.811299435028249
"202",10460,"Associate's and below",2013,885,1,25,0.0282485875706215
"203",10460,"Associate's and below",2014,695,0,568,0.81726618705036
"204",10460,"Associate's and below",2014,695,1,23,0.0330935251798561
"205",10500,"Associate's and below",2010,3271,1,110,0.0336288596759401
"206",10500,"Associate's and below",2010,3271,0,2726,0.833384286151024
"207",10500,"Associate's and below",2011,4227,1,213,0.0503903477643719
"208",10500,"Associate's and below",2011,4227,0,3338,0.789685356044476
"209",10500,"Associate's and below",2012,3788,0,2988,0.788806758183738
"210",10500,"Associate's and below",2012,3788,1,153,0.0403907074973601
"211",10500,"Associate's and below",2013,3158,1,57,0.0180493983533882
"212",10500,"Associate's and below",2013,3158,0,2512,0.795440151994933
"213",10500,"Associate's and below",2014,3210,0,2531,0.788473520249221
"214",10500,"Associate's and below",2014,3210,1,53,0.0165109034267913
"215",10500,"Bachelor's",2010,508,1,13,0.0255905511811024
"216",10500,"Bachelor's",2010,508,0,430,0.846456692913386
"217",10500,"Bachelor's",2011,568,1,15,0.0264084507042254
"218",10500,"Bachelor's",2011,568,0,488,0.859154929577465
"219",10500,"Bachelor's",2012,634,0,549,0.865930599369085
"220",10500,"Bachelor's",2012,634,1,12,0.0189274447949527
"221",10500,"Bachelor's",2013,526,0,442,0.840304182509506
